Time,Date,East
12:59:41,02-07-2022,-0.06600000000617001
13:59:41,02-07-2022,-0.0639999999984866
14:59:41,02-07-2022,-0.07300000000395812
15:59:41,02-07-2022,-0.0610000000015134
16:59:41,02-07-2022,-0.06799999999930151
17:59:41,02-07-2022,-0.06799999999930151
18:59:41,02-07-2022,-0.0669999999954598
19:59:41,02-07-2022,-0.07000000000698492
20:59:41,02-07-2022,-0.0580000000045402
21:59:41,02-07-2022,-0.06900000000314321
22:59:41,02-07-2022,-0.0639999999984866
23:59:41,02-07-2022,-0.0580000000045402
00:59:41,03-07-2022,-0.0669999999954598
01:59:41,03-07-2022,-0.05700000000069849
02:59:41,03-07-2022,-0.06600000000617001
03:59:41,03-07-2022,-0.0610000000015134
04:59:41,03-07-2022,-0.059999999997671694
07:59:41,26-07-2022,-0.06900000000314321
08:59:41,26-07-2022,-0.0629999999946449
09:59:41,26-07-2022,-0.062000000005355105
10:59:41,26-07-2022,-0.0580000000045402
11:59:41,26-07-2022,-0.0669999999954598
12:59:41,26-07-2022,-0.08000000000174623
13:59:41,26-07-2022,-0.07000000000698492
14:59:41,26-07-2022,-0.06900000000314321
15:59:41,26-07-2022,-0.06600000000617001
16:59:41,26-07-2022,-0.0629999999946449
17:59:41,26-07-2022,-0.0629999999946449
18:59:41,26-07-2022,-0.0639999999984866
19:59:41,26-07-2022,-0.07300000000395812
20:59:41,26-07-2022,-0.06900000000314321
21:59:41,26-07-2022,-0.0580000000045402
22:59:41,26-07-2022,-0.06799999999930151
23:59:41,26-07-2022,-0.0629999999946449
00:59:41,27-07-2022,-0.0669999999954598
01:59:41,27-07-2022,-0.0639999999984866
02:59:41,27-07-2022,-0.062000000005355105
03:59:41,27-07-2022,-0.0650000000023283
04:59:41,27-07-2022,-0.07300000000395812
05:59:41,27-07-2022,-0.07700000000477303
06:59:41,27-07-2022,-0.07200000000011642
07:59:41,27-07-2022,-0.06900000000314321
17:59:41,06-11-2022,-0.0610000000015134
18:59:41,06-11-2022,-0.0639999999984866
19:59:41,06-11-2022,-0.05499999999301508
20:59:41,06-11-2022,-0.059999999997671694
21:59:41,06-11-2022,-0.0580000000045402
22:59:41,06-11-2022,-0.05700000000069849
23:59:41,06-11-2022,-0.0610000000015134
00:59:41,07-11-2022,-0.059999999997671694
01:59:41,07-11-2022,-0.05899999999382999
02:59:41,07-11-2022,-0.0629999999946449
03:59:41,07-11-2022,-0.059999999997671694
04:59:41,07-11-2022,-0.05700000000069849
05:59:41,07-11-2022,-0.0610000000015134
06:59:41,07-11-2022,-0.05499999999301508
07:59:41,07-11-2022,-0.05000000000291038
08:59:41,07-11-2022,-0.06600000000617001
09:59:41,07-11-2022,-0.059999999997671694
11:59:41,07-11-2022,-0.07700000000477303
12:59:41,07-11-2022,-0.05400000000372529
13:59:41,07-11-2022,-0.055999999996856786
14:59:41,07-11-2022,-0.05899999999382999
15:59:41,07-11-2022,-0.055999999996856786
16:59:41,07-11-2022,-0.05499999999301508
17:59:41,07-11-2022,-0.05700000000069849
22:59:41,07-06-2022,-0.0650000000023283
23:59:41,07-06-2022,-0.06600000000617001
00:59:41,08-06-2022,-0.0639999999984866
01:59:41,08-06-2022,-0.07399999999324791
02:59:41,08-06-2022,-0.06799999999930151
03:59:41,08-06-2022,-0.0669999999954598
04:59:41,08-06-2022,-0.07200000000011642
05:59:41,08-06-2022,-0.07000000000698492
